episode,ticks,alive,rl_alive,transitions,total_reward,epsilon,updates
0,20326,67,1,733,-16.07,0.766,17088
1,20411,60,2,636,-9.34,0.557,37440
2,20441,62,3,730,-8.27,0.387,60800
0,20416,66,3,818,-7.65,0.367,19808
1,20433,63,2,801,-10.48,0.246,45440
2,20421,54,3,665,-3.87,0.176,66720
3,20370,65,4,812,-1.28,0.117,92704
4,20464,63,2,779,-14.27,0.080,117632
5,20321,65,4,812,-0.08,0.053,143616
6,20424,59,4,816,-0.12,0.050,169728
7,20398,64,3,657,-2.03,0.050,190752
8,20502,66,1,648,-14.92,0.050,211488
9,20471,60,4,812,-0.08,0.050,237472
10,20434,65,4,812,-0.08,0.050,263456
11,20498,65,3,754,-5.26,0.050,287584
12,20351,74,4,812,-0.58,0.050,313568
13,20433,54,4,816,-0.12,0.050,339680
14,20441,52,1,570,-14.19,0.050,357920
15,20427,75,4,820,-0.16,0.050,384160
16,20414,60,4,816,-1.62,0.050,410272
17,20432,57,3,650,-1.97,0.050,431072
18,20367,69,4,812,-0.08,0.050,457056
19,20464,66,1,643,-14.92,0.050,477632
20,20421,56,4,812,-0.83,0.050,503616
21,20287,72,4,786,0.18,0.050,528768
22,20434,63,4,813,-0.09,0.050,554784
23,20435,64,4,816,0.88,0.050,580896
24,20472,69,1,732,-16.81,0.050,604320
25,20474,52,1,669,-15.18,0.050,625728
26,20446,66,3,770,-5.17,0.050,650368
27,20385,56,4,812,-0.08,0.050,676352
28,20392,57,3,710,-4.57,0.050,699072
29,20405,59,2,683,-12.06,0.050,720928
30,20394,82,4,464,3.40,0.050,735776
31,20366,64,3,670,-4.17,0.050,757216
32,20507,61,2,709,-10.07,0.050,779904
33,20496,61,4,816,-0.12,0.050,806016
34,20334,59,3,786,-6.08,0.050,831168
35,20366,71,4,812,-2.08,0.050,857152
36,20154,66,0,538,-19.38,0.050,874368
37,20384,58,3,773,-4.20,0.050,899104
38,20400,60,4,812,-0.08,0.050,925088
39,20380,57,4,808,-0.29,0.050,950944
40,20423,78,4,816,0.43,0.050,977056
41,20426,73,2,803,-8.25,0.050,1002752
42,20001,70,4,784,0.20,0.050,1027840
43,20490,62,4,816,-0.12,0.050,1053952
44,20423,58,4,820,-0.16,0.050,1080192
0,20400,76,4,813,6.38,0.470,19648
1,20370,63,4,808,6.39,0.434,45504
2,20442,61,1,531,-9.56,0.411,62496
3,20354,63,4,812,6.38,0.379,88480
4,20422,64,2,728,-4.45,0.353,111776
5,20399,67,4,812,6.38,0.325,137760
6,20342,59,4,812,6.38,0.300,163744
7,20364,66,1,519,-10.04,0.285,180352
8,20373,63,4,812,6.38,0.262,206336
9,20035,70,4,800,6.41,0.242,231936
10,20022,55,4,776,6.46,0.224,256768
11,20467,61,4,816,6.93,0.207,282880
12,20386,59,4,812,6.38,0.190,308864
13,20462,49,4,816,6.38,0.175,334976
14,20446,65,4,812,6.38,0.162,360960
15,20039,68,2,699,-5.39,0.151,383328
16,20469,68,4,816,6.38,0.139,409440
17,20447,70,3,784,-1.06,0.129,434528
18,20463,67,3,714,1.08,0.120,457376
19,20515,63,4,820,6.37,0.110,483616
20,20440,73,4,816,6.38,0.102,509728
21,20404,73,4,804,6.40,0.094,535456
22,20406,66,4,815,6.38,0.086,561536
23,20408,60,3,750,1.01,0.080,585536
24,20308,84,4,296,7.42,0.078,595008
25,20348,64,4,812,6.38,0.072,620992
26,20359,89,4,360,7.29,0.069,632512
27,20470,70,4,812,6.38,0.064,658496
28,20412,63,4,815,6.13,0.059,684576
29,20410,69,4,812,6.38,0.054,710560
30,20437,56,4,816,6.38,0.050,736672
31,20365,65,4,804,5.40,0.050,762400
32,20353,62,2,763,-4.52,0.050,786816
33,20345,62,2,639,-4.27,0.050,807264
34,20318,75,4,812,6.38,0.050,833248
35,20457,58,0,578,-15.16,0.050,851744
36,20417,67,3,804,0.90,0.050,877472
37,20373,69,4,808,6.39,0.050,903328
38,20312,64,4,812,6.38,0.050,929312
39,20433,61,1,487,-9.47,0.050,944896
40,20371,46,1,657,-7.81,0.050,965920
41,20415,52,2,744,-5.98,0.050,989728
42,20502,65,3,749,1.01,0.050,1013696
43,20395,66,3,805,0.90,0.050,1039456
44,20383,71,4,812,6.38,0.050,1065440
45,20323,67,4,808,6.39,0.050,1091296
46,20425,62,4,773,6.46,0.050,1116032
47,20421,66,4,804,6.40,0.050,1141760
48,20465,62,4,800,6.41,0.050,1167360
49,20369,72,3,747,1.01,0.050,1191264
50,20375,70,1,550,-7.60,0.050,1208864
51,20460,64,3,618,3.27,0.050,1228640
52,20386,62,4,804,6.40,0.050,1254368
53,20384,72,4,812,6.38,0.050,1280352
54,20371,66,4,808,6.39,0.050,1306208
55,20344,71,4,812,6.38,0.050,1332192
56,20358,73,3,776,2.96,0.050,1357024
57,20382,64,2,599,-4.19,0.050,1376192
58,20350,67,3,741,0.02,0.050,1399904
59,20357,60,4,812,5.38,0.050,1425888
60,20247,68,3,732,1.04,0.050,1449312
61,20413,76,4,808,6.39,0.050,1475168
62,20395,50,4,808,6.39,0.050,1501024
63,20353,64,4,808,6.39,0.050,1526880
64,20388,49,3,796,0.41,0.050,1552352
65,20352,56,2,578,-2.15,0.050,1570848
66,20435,60,4,816,6.38,0.050,1596960
67,20385,71,4,800,6.41,0.050,1622560
68,20370,67,4,808,6.39,0.050,1648416
69,20415,61,4,816,6.38,0.050,1674528
70,20446,63,4,812,6.38,0.050,1700512
71,20375,71,2,783,-2.56,0.050,1725568
72,20448,75,2,748,-4.49,0.050,1749504
73,20094,65,4,800,6.41,0.050,1775104
74,20394,68,4,808,6.39,0.050,1800960
75,20375,59,4,812,6.38,0.050,1826944
76,20434,59,2,584,-2.16,0.050,1845632
77,20455,68,4,816,6.38,0.050,1871744
78,20404,60,4,808,6.39,0.050,1897600
79,20396,67,4,808,6.39,0.050,1923456
80,20401,52,3,750,1.01,0.050,1947456
81,20448,61,3,674,-0.34,0.050,1969024
82,20493,64,4,816,6.38,0.050,1995136
83,20395,58,4,812,6.83,0.050,2021120
84,20466,64,4,792,6.42,0.050,2046464
85,20224,69,1,599,-11.70,0.050,2065632
86,20337,63,2,650,-4.30,0.050,2086432
87,20433,69,3,764,2.98,0.050,2110880
88,20425,68,4,792,6.42,0.050,2136224
89,20452,63,4,784,4.94,0.050,2161312
90,20447,70,4,792,6.42,0.050,2186656
91,20477,64,2,641,-4.28,0.050,2207168
92,20489,61,4,816,6.38,0.050,2233280
93,20414,45,4,784,6.44,0.050,2258368
94,20383,71,4,812,6.38,0.050,2284352
95,20000,63,3,707,3.09,0.050,2306976
96,20469,70,4,816,6.38,0.050,2333088
97,20423,53,1,619,-9.74,0.050,2352896
98,20405,69,4,760,6.49,0.050,2377216
99,20475,57,4,688,6.63,0.050,2399232
100,20394,62,0,431,-14.86,0.050,2413024
101,20478,68,2,731,-2.46,0.050,2436416
102,20449,66,4,756,6.50,0.050,2460608
103,20499,61,3,669,1.17,0.050,2482016
104,20449,67,4,816,6.38,0.050,2508128
105,20384,71,4,796,5.92,0.050,2533600
106,20425,65,4,792,6.42,0.050,2558944
107,20005,57,3,768,-0.28,0.050,2583520
108,20456,70,4,792,6.42,0.050,2608864
109,20183,71,4,656,6.70,0.050,2629856
110,20486,60,4,816,6.38,0.050,2655968
111,20495,65,4,800,6.41,0.050,2681568
112,20052,67,2,724,-4.44,0.050,2704736
113,20394,60,4,812,4.38,0.050,2730720
114,20458,69,2,584,-4.16,0.050,2749408
115,20381,68,4,812,6.38,0.050,2775392
116,20444,56,4,804,6.40,0.050,2801120
117,20435,59,4,764,6.48,0.050,2825568
118,20465,57,3,702,-0.90,0.050,2848032
119,20368,68,3,549,1.41,0.050,2865600
120,20463,67,4,780,6.45,0.050,2890560
121,20446,67,4,792,4.92,0.050,2915904
122,20417,63,4,572,6.86,0.050,2934208
123,20453,72,4,752,6.50,0.050,2958272
124,20494,61,3,730,3.05,0.050,2981632
125,20003,53,4,688,6.68,0.050,3003648
126,20429,65,4,728,6.05,0.050,3026944
127,20369,70,4,796,6.42,0.050,3052416
